time,station1 name,station1 region,station2 name,station2 region,satellite
0,Marseille,1,ReggioEmilia,4,1
1,Marseille,1,ReggioEmilia,4,1
2,Marseille,1,ReggioEmilia,4,1
3,Marseille,1,ReggioEmilia,4,1
4,Marseille,1,ReggioEmilia,4,1
5,Marseille,1,ReggioEmilia,4,1
6,Marseille,1,ReggioEmilia,4,1
7,Marseille,1,ReggioEmilia,4,1
8,Marseille,1,ReggioEmilia,4,1
9,Marseille,1,ReggioEmilia,4,1
10,Marseille,1,ReggioEmilia,4,1
11,Marseille,1,ReggioEmilia,4,1
12,Marseille,1,ReggioEmilia,4,1
13,Saint-Étienne,1,Bochum,2,1
14,Saint-Étienne,1,Bochum,2,1
15,Saint-Étienne,1,Bochum,2,1
16,Saint-Étienne,1,Bochum,2,1
17,Saint-Étienne,1,Bochum,2,1
18,Saint-Étienne,1,Bochum,2,1
19,Saint-Étienne,1,Bochum,2,1
20,Saint-Étienne,1,Bochum,2,1
21,Saint-Étienne,1,Bochum,2,1
22,Saint-Étienne,1,Bochum,2,1
23,Saint-Étienne,1,Bochum,2,1
24,Saint-Étienne,1,Bochum,2,1
24,Berlin,2,Florence,4,2
25,Saint-Étienne,1,Bochum,2,1
25,Berlin,2,Florence,4,2
26,Saint-Étienne,1,Bochum,2,1
26,Berlin,2,Florence,4,2
27,Bochum,2,Sheffield,5,1
27,Berlin,2,Florence,4,2
28,Bochum,2,Sheffield,5,1
28,Berlin,2,Florence,4,2
29,Bochum,2,Sheffield,5,1
29,Berlin,2,Florence,4,2
30,Bochum,2,Sheffield,5,1
30,Berlin,2,Florence,4,2
31,Bochum,2,Sheffield,5,1
31,Berlin,2,Florence,4,2
32,Bochum,2,Sheffield,5,1
32,Berlin,2,Florence,4,2
32,Drogheda,3,Liverpool,5,4
33,Bochum,2,Sheffield,5,1
33,Berlin,2,Florence,4,2
33,Drogheda,3,Liverpool,5,4
34,Vejle,0,Münster,2,1
34,Berlin,2,Florence,4,2
34,Drogheda,3,Liverpool,5,4
35,Vejle,0,Münster,2,1
35,Berlin,2,Florence,4,2
35,Drogheda,3,Liverpool,5,4
36,Vejle,0,Münster,2,1
36,Berlin,2,Florence,4,2
36,Drogheda,3,Liverpool,5,4
37,Vejle,0,Münster,2,1
37,Berlin,2,Florence,4,2
37,Drogheda,3,Liverpool,5,4
38,Vejle,0,Münster,2,1
38,Berlin,2,Florence,4,2
38,Drogheda,3,Liverpool,5,4
39,Vejle,0,Münster,2,1
39,Berlin,2,Florence,4,2
39,Drogheda,3,Liverpool,5,4
40,Vejle,0,Münster,2,1
40,Berlin,2,Florence,4,2
40,Drogheda,3,Liverpool,5,4
41,Vejle,0,Münster,2,1
41,Berlin,2,Florence,4,2
41,Drogheda,3,Liverpool,5,4
42,Vejle,0,Münster,2,1
42,Berlin,2,Florence,4,2
42,Drogheda,3,Liverpool,5,4
43,Vejle,0,Münster,2,1
43,Berlin,2,Florence,4,2
43,Drogheda,3,Liverpool,5,4
44,Vejle,0,Newcastle,5,1
44,Berlin,2,Florence,4,2
44,Drogheda,3,Liverpool,5,4
45,Vejle,0,Newcastle,5,1
45,Berlin,2,Florence,4,2
45,Drogheda,3,Liverpool,5,4
46,Vejle,0,Newcastle,5,1
46,Berlin,2,Florence,4,2
46,Drogheda,3,Liverpool,5,4
47,Vejle,0,Newcastle,5,1
47,Berlin,2,Florence,4,2
47,Drogheda,3,Liverpool,5,4
48,Vejle,0,Newcastle,5,1
48,Berlin,2,Florence,4,2
48,Drogheda,3,Liverpool,5,4
49,Marseille,1,ReggioEmilia,4,0
49,Vejle,0,Newcastle,5,1
49,Berlin,2,Florence,4,2
49,Drogheda,3,Liverpool,5,4
50,Marseille,1,ReggioEmilia,4,0
50,Vejle,0,Newcastle,5,1
50,Vejle,0,Münster,2,2
50,Drogheda,3,Liverpool,5,4
51,Marseille,1,ReggioEmilia,4,0
51,Vejle,0,Newcastle,5,1
51,Vejle,0,Münster,2,2
51,Drogheda,3,Liverpool,5,4
52,Marseille,1,ReggioEmilia,4,0
52,Vejle,0,Newcastle,5,1
52,Vejle,0,Münster,2,2
52,Drogheda,3,Liverpool,5,4
53,Marseille,1,ReggioEmilia,4,0
53,Vejle,0,Newcastle,5,1
53,Vejle,0,Münster,2,2
53,Drogheda,3,Liverpool,5,4
54,Marseille,1,ReggioEmilia,4,0
54,Vejle,0,Newcastle,5,1
54,Vejle,0,Münster,2,2
54,Drogheda,3,Liverpool,5,4
55,Marseille,1,ReggioEmilia,4,0
55,Vejle,0,Newcastle,5,1
55,Vejle,0,Münster,2,2
55,Drogheda,3,Liverpool,5,4
56,Marseille,1,ReggioEmilia,4,0
56,Vejle,0,Newcastle,5,1
56,Vejle,0,Münster,2,2
56,Drogheda,3,Liverpool,5,4
57,Marseille,1,ReggioEmilia,4,0
57,Vejle,0,Newcastle,5,1
57,Vejle,0,Münster,2,2
57,Drogheda,3,Liverpool,5,4
58,Marseille,1,ReggioEmilia,4,0
58,Vejle,0,Newcastle,5,1
58,Vejle,0,Münster,2,2
58,Drogheda,3,Liverpool,5,4
59,Marseille,1,ReggioEmilia,4,0
59,Vejle,0,Newcastle,5,1
59,Vejle,0,Münster,2,2
59,Drogheda,3,Liverpool,5,4
60,Marseille,1,ReggioEmilia,4,0
60,Vejle,0,Newcastle,5,1
60,Vejle,0,Münster,2,2
60,Drogheda,3,Liverpool,5,4
61,Marseille,1,ReggioEmilia,4,0
61,Vejle,0,Newcastle,5,1
61,Vejle,0,Münster,2,2
61,Drogheda,3,Liverpool,5,4
62,Marseille,1,ReggioEmilia,4,0
62,Vejle,0,Newcastle,5,1
62,Vejle,0,Münster,2,2
62,Drogheda,3,Liverpool,5,4
63,Marseille,1,ReggioEmilia,4,0
63,Vejle,0,Newcastle,5,1
63,Vejle,0,Münster,2,2
63,Drogheda,3,Liverpool,5,4
64,Marseille,1,ReggioEmilia,4,0
64,Vejle,0,Newcastle,5,1
64,Vejle,0,Münster,2,2
64,Drogheda,3,Liverpool,5,4
65,Marseille,1,ReggioEmilia,4,0
65,Vejle,0,Newcastle,5,1
65,Vejle,0,Münster,2,2
65,Drogheda,3,Liverpool,5,4
66,Marseille,1,ReggioEmilia,4,0
66,Vejle,0,Newcastle,5,1
66,Vejle,0,Münster,2,2
66,Drogheda,3,Liverpool,5,4
67,Marseille,1,ReggioEmilia,4,0
67,Vejle,0,Newcastle,5,1
67,Vejle,0,Münster,2,2
67,Drogheda,3,Liverpool,5,4
68,Marseille,1,ReggioEmilia,4,0
68,Vejle,0,Newcastle,5,1
68,Vejle,0,Münster,2,2
68,Drogheda,3,Liverpool,5,4
69,Marseille,1,ReggioEmilia,4,0
69,Vejle,0,Newcastle,5,1
69,Vejle,0,Münster,2,2
69,Drogheda,3,Liverpool,5,4
70,Marseille,1,ReggioEmilia,4,0
70,Vejle,0,Newcastle,5,1
70,Vejle,0,Münster,2,2
70,Drogheda,3,Liverpool,5,4
71,Marseille,1,ReggioEmilia,4,0
71,Vejle,0,Newcastle,5,1
71,Vejle,0,Münster,2,2
71,Drogheda,3,Liverpool,5,4
